Ride,Date/Time,Wait Time
Autopista (bate-bate),2023-06-01 10:40:04,15
Autopista (bate-bate),2023-06-01 10:45:04,15
Autopista (bate-bate),2023-06-01 10:50:04,15
Autopista (bate-bate),2023-06-01 10:55:04,15
Autopista (bate-bate),2023-06-01 11:00:04,15
Autopista (bate-bate),2023-06-01 11:05:03,15
Autopista (bate-bate),2023-06-01 11:10:04,10
Autopista (bate-bate),2023-06-01 11:15:04,10
Autopista (bate-bate),2023-06-01 11:20:04,10
Autopista (bate-bate),2023-06-01 11:25:05,10
Autopista (bate-bate),2023-06-01 11:30:05,10
Autopista (bate-bate),2023-06-01 11:35:04,10
Autopista (bate-bate),2023-06-01 11:40:03,10
Autopista (bate-bate),2023-06-01 11:45:04,10
Autopista (bate-bate),2023-06-01 11:50:05,10
Autopista (bate-bate),2023-06-01 11:55:04,10
Autopista (bate-bate),2023-06-01 12:00:04,10
Autopista (bate-bate),2023-06-01 12:05:05,10
Autopista (bate-bate),2023-06-01 12:10:04,10
Autopista (bate-bate),2023-06-01 12:15:04,10
Autopista (bate-bate),2023-06-01 12:20:03,10
Autopista (bate-bate),2023-06-01 12:25:04,10
Autopista (bate-bate),2023-06-01 12:30:05,10
Autopista (bate-bate),2023-06-01 12:35:04,10
Autopista (bate-bate),2023-06-01 12:40:04,10
Autopista (bate-bate),2023-06-01 12:45:03,10
Autopista (bate-bate),2023-06-01 12:50:04,10
Autopista (bate-bate),2023-06-01 12:55:03,10
Autopista (bate-bate),2023-06-01 13:00:05,10
Autopista (bate-bate),2023-06-01 13:05:05,20
Autopista (bate-bate),2023-06-01 13:10:05,20
Autopista (bate-bate),2023-06-01 13:15:05,20
Autopista (bate-bate),2023-06-01 13:20:05,20
Autopista (bate-bate),2023-06-01 13:25:04,20
Autopista (bate-bate),2023-06-01 13:30:06,20
Autopista (bate-bate),2023-06-01 13:35:05,5
Autopista (bate-bate),2023-06-01 13:40:04,5
Autopista (bate-bate),2023-06-01 13:45:04,5
Autopista (bate-bate),2023-06-01 13:50:04,5
Autopista (bate-bate),2023-06-01 13:55:03,5
Autopista (bate-bate),2023-06-01 14:00:04,5
Autopista (bate-bate),2023-06-01 14:05:05,5
Autopista (bate-bate),2023-06-01 14:10:04,5
Autopista (bate-bate),2023-06-01 14:15:04,5
Autopista (bate-bate),2023-06-01 14:20:04,5
