Ride,Date/Time,Wait Time
Baby Elefante,2023-03-01 10:35:03,5
Baby Elefante,2023-03-01 10:40:03,5
Baby Elefante,2023-03-01 10:45:03,5
Baby Elefante,2023-03-01 10:50:04,5
Baby Elefante,2023-03-01 10:55:04,5
Baby Elefante,2023-03-01 11:00:05,5
Baby Elefante,2023-03-01 11:05:04,5
Baby Elefante,2023-03-01 11:10:03,5
Baby Elefante,2023-03-01 11:15:04,5
Baby Elefante,2023-03-01 11:20:04,5
Baby Elefante,2023-03-01 11:25:04,5
Baby Elefante,2023-03-01 11:30:03,5
Baby Elefante,2023-03-01 11:35:03,5
Baby Elefante,2023-03-01 11:40:03,5
Baby Elefante,2023-03-01 11:45:04,5
Baby Elefante,2023-03-01 11:50:04,5
Baby Elefante,2023-03-01 11:55:04,5
Baby Elefante,2023-03-01 12:00:04,5
Baby Elefante,2023-03-01 12:05:04,5
Baby Elefante,2023-03-01 12:10:04,5
Baby Elefante,2023-03-01 12:15:04,10
Baby Elefante,2023-03-01 12:20:04,10
Baby Elefante,2023-03-01 12:25:04,10
Baby Elefante,2023-03-01 12:30:04,10
Baby Elefante,2023-03-01 12:35:04,10
Baby Elefante,2023-03-01 12:40:03,10
Baby Elefante,2023-03-01 12:45:03,10
Baby Elefante,2023-03-01 12:50:04,5
Baby Elefante,2023-03-01 12:55:04,5
Baby Elefante,2023-03-01 13:00:04,5
Baby Elefante,2023-03-01 13:05:03,5
Baby Elefante,2023-03-01 13:10:04,10
Baby Elefante,2023-03-01 13:15:04,10
Baby Elefante,2023-03-01 13:20:06,10
Baby Elefante,2023-03-01 13:25:04,10
Baby Elefante,2023-03-01 13:30:04,10
Baby Elefante,2023-03-01 13:35:03,10
Baby Elefante,2023-03-01 13:40:04,5
Baby Elefante,2023-03-01 13:45:03,5
Baby Elefante,2023-03-01 13:50:04,5
Baby Elefante,2023-03-01 13:55:04,5
Baby Elefante,2023-03-01 14:00:04,5
Baby Elefante,2023-03-01 14:05:04,5
Baby Elefante,2023-03-01 14:10:04,5
Baby Elefante,2023-03-01 14:15:04,5
Baby Elefante,2023-03-01 14:20:04,5
Baby Elefante,2023-03-01 14:25:04,5
Baby Elefante,2023-03-01 14:30:04,5
Baby Elefante,2023-03-01 14:35:04,5
Baby Elefante,2023-03-01 14:40:04,5
Baby Elefante,2023-03-01 14:45:03,5
Baby Elefante,2023-03-01 14:50:03,5
Baby Elefante,2023-03-01 14:55:03,5
Baby Elefante,2023-03-01 15:00:04,5
Baby Elefante,2023-03-01 15:05:04,5
Baby Elefante,2023-03-01 15:10:04,5
Baby Elefante,2023-03-01 15:15:04,5
Baby Elefante,2023-03-01 15:20:04,5
Baby Elefante,2023-03-01 15:25:04,5
Baby Elefante,2023-03-01 15:30:04,5
Baby Elefante,2023-03-01 15:35:04,5
Baby Elefante,2023-03-01 15:40:03,5
Baby Elefante,2023-03-01 15:45:04,5
Baby Elefante,2023-03-01 15:50:04,5
Baby Elefante,2023-03-01 15:55:04,5
Baby Elefante,2023-03-01 16:00:04,5
Baby Elefante,2023-03-01 16:05:04,5
Baby Elefante,2023-03-01 16:10:04,5
Baby Elefante,2023-03-01 16:15:04,5
Baby Elefante,2023-03-01 16:20:04,5
Baby Elefante,2023-03-01 16:25:04,5
Baby Elefante,2023-03-01 16:30:04,5
Baby Elefante,2023-03-01 16:35:03,5
Baby Elefante,2023-03-01 16:40:04,5
Baby Elefante,2023-03-01 16:45:04,5
Baby Elefante,2023-03-01 16:50:04,5
Baby Elefante,2023-03-01 16:55:04,5
Baby Elefante,2023-03-01 17:00:04,5
Baby Elefante,2023-03-01 17:05:04,5
Baby Elefante,2023-03-01 17:10:04,5
Baby Elefante,2023-03-01 17:15:04,5
Baby Elefante,2023-03-01 17:20:04,5
Baby Elefante,2023-03-01 17:25:03,5
Baby Elefante,2023-03-01 17:30:04,5
Baby Elefante,2023-03-01 17:35:04,5
Baby Elefante,2023-03-01 17:40:04,5
Baby Elefante,2023-03-01 17:45:04,5
Baby Elefante,2023-03-01 17:50:04,5
Baby Elefante,2023-03-01 17:55:04,5
Baby Elefante,2023-03-01 18:00:04,5
Baby Elefante,2023-03-01 18:05:04,5
Baby Elefante,2023-03-01 18:10:04,10
Baby Elefante,2023-03-01 18:15:04,10
