Ride,Date/Time,Wait Time
Baby Elefante,2023-09-01 10:50:04,15
Baby Elefante,2023-09-01 10:55:04,15
Baby Elefante,2023-09-01 11:00:06,15
Baby Elefante,2023-09-01 11:05:05,15
Baby Elefante,2023-09-01 11:10:06,60
Baby Elefante,2023-09-01 11:15:04,60
Baby Elefante,2023-09-01 11:20:04,60
Baby Elefante,2023-09-01 11:25:06,60
Baby Elefante,2023-09-01 11:30:04,60
Baby Elefante,2023-09-01 11:35:04,90
Baby Elefante,2023-09-01 11:40:04,90
Baby Elefante,2023-09-01 11:45:05,90
Baby Elefante,2023-09-01 11:50:06,90
Baby Elefante,2023-09-01 11:55:05,90
Baby Elefante,2023-09-01 12:00:05,90
Baby Elefante,2023-09-01 12:05:06,45
Baby Elefante,2023-09-01 12:10:05,45
Baby Elefante,2023-09-01 12:15:05,45
Baby Elefante,2023-09-01 12:20:05,45
Baby Elefante,2023-09-01 12:25:05,45
Baby Elefante,2023-09-01 12:30:04,30
Baby Elefante,2023-09-01 12:35:05,30
Baby Elefante,2023-09-01 12:40:04,30
Baby Elefante,2023-09-01 12:45:05,30
Baby Elefante,2023-09-01 12:50:05,30
Baby Elefante,2023-09-01 12:55:05,30
Baby Elefante,2023-09-01 13:00:05,30
Baby Elefante,2023-09-01 13:05:04,35
Baby Elefante,2023-09-01 13:10:06,35
Baby Elefante,2023-09-01 13:15:05,35
Baby Elefante,2023-09-01 13:20:06,35
Baby Elefante,2023-09-01 13:25:05,35
Baby Elefante,2023-09-01 13:30:04,35
Baby Elefante,2023-09-01 13:35:05,10
Baby Elefante,2023-09-01 13:40:06,10
Baby Elefante,2023-09-01 13:45:04,10
Baby Elefante,2023-09-01 13:50:05,10
Baby Elefante,2023-09-01 13:55:04,10
Baby Elefante,2023-09-01 14:00:06,5
Baby Elefante,2023-09-01 14:05:05,5
Baby Elefante,2023-09-01 14:10:05,5
Baby Elefante,2023-09-01 14:15:04,5
Baby Elefante,2023-09-01 14:20:05,5
Baby Elefante,2023-09-01 14:25:04,5
Baby Elefante,2023-09-01 14:30:04,5
Baby Elefante,2023-09-01 14:35:05,5
Baby Elefante,2023-09-01 14:40:03,5
Baby Elefante,2023-09-01 14:45:05,5
Baby Elefante,2023-09-01 14:50:04,5
