Ride,Date/Time,Wait Time
Big Tower,2023-08-03 10:35:05,15
Big Tower,2023-08-03 10:40:04,15
Big Tower,2023-08-03 10:45:04,15
Big Tower,2023-08-03 10:50:04,15
Big Tower,2023-08-03 10:55:05,15
Big Tower,2023-08-03 11:00:05,15
Big Tower,2023-08-03 11:05:05,15
Big Tower,2023-08-03 11:10:05,30
Big Tower,2023-08-03 11:15:05,30
Big Tower,2023-08-03 11:20:05,30
Big Tower,2023-08-03 11:25:05,30
Big Tower,2023-08-03 11:30:05,30
Big Tower,2023-08-03 11:35:05,30
Big Tower,2023-08-03 11:40:05,35
Big Tower,2023-08-03 11:45:05,35
Big Tower,2023-08-03 11:50:05,35
Big Tower,2023-08-03 11:55:02,35
Big Tower,2023-08-03 12:00:04,35
Big Tower,2023-08-03 12:05:05,35
Big Tower,2023-08-03 12:10:05,50
Big Tower,2023-08-03 12:15:05,50
Big Tower,2023-08-03 12:20:05,50
Big Tower,2023-08-03 12:25:05,50
Big Tower,2023-08-03 12:30:05,30
Big Tower,2023-08-03 12:35:04,30
Big Tower,2023-08-03 12:40:05,30
Big Tower,2023-08-03 12:45:04,30
Big Tower,2023-08-03 12:50:05,30
Big Tower,2023-08-03 12:55:04,30
Big Tower,2023-08-03 13:00:05,30
Big Tower,2023-08-03 13:05:05,30
Big Tower,2023-08-03 13:10:05,30
Big Tower,2023-08-03 13:15:05,30
Big Tower,2023-08-03 13:20:06,30
Big Tower,2023-08-03 13:25:05,30
Big Tower,2023-08-03 13:30:05,30
Big Tower,2023-08-03 13:35:04,15
Big Tower,2023-08-03 13:40:05,15
Big Tower,2023-08-03 13:45:05,15
Big Tower,2023-08-03 13:50:05,15
Big Tower,2023-08-03 13:55:05,15
Big Tower,2023-08-03 14:00:05,15
Big Tower,2023-08-03 14:05:04,15
Big Tower,2023-08-03 14:10:05,20
Big Tower,2023-08-03 14:15:05,20
Big Tower,2023-08-03 14:20:06,20
Big Tower,2023-08-03 14:25:04,20
Big Tower,2023-08-03 14:30:06,20
Big Tower,2023-08-03 14:35:05,20
Big Tower,2023-08-03 14:40:05,35
Big Tower,2023-08-03 14:45:05,35
Big Tower,2023-08-03 14:50:04,35
Big Tower,2023-08-03 14:55:05,35
Big Tower,2023-08-03 15:00:06,35
Big Tower,2023-08-03 15:05:06,35
Big Tower,2023-08-03 15:10:04,35
Big Tower,2023-08-03 15:15:04,35
Big Tower,2023-08-03 15:20:05,35
Big Tower,2023-08-03 15:25:05,35
Big Tower,2023-08-03 15:30:06,35
Big Tower,2023-08-03 15:35:04,15
Big Tower,2023-08-03 15:40:04,15
Big Tower,2023-08-03 15:45:05,15
Big Tower,2023-08-03 15:50:05,15
Big Tower,2023-08-03 15:55:05,25
Big Tower,2023-08-03 16:00:03,25
Big Tower,2023-08-03 16:05:05,25
Big Tower,2023-08-03 16:10:04,25
Big Tower,2023-08-03 16:15:05,25
Big Tower,2023-08-03 16:20:03,25
Big Tower,2023-08-03 16:25:04,20
Big Tower,2023-08-03 16:30:05,20
Big Tower,2023-08-03 16:35:04,20
Big Tower,2023-08-03 16:40:03,20
Big Tower,2023-08-03 16:45:04,20
Big Tower,2023-08-03 16:50:03,20
Big Tower,2023-08-03 16:55:04,25
Big Tower,2023-08-03 17:00:06,25
Big Tower,2023-08-03 17:05:04,25
Big Tower,2023-08-03 17:10:05,25
Big Tower,2023-08-03 17:15:06,25
Big Tower,2023-08-03 17:20:05,25
Big Tower,2023-08-03 17:25:06,25
Big Tower,2023-08-03 17:30:04,25
Big Tower,2023-08-03 17:35:05,10
