Ride,Date/Time,Wait Time
Carrossel Veneziano,2023-08-03 14:40:05,5
Carrossel Veneziano,2023-08-03 14:45:05,5
Carrossel Veneziano,2023-08-03 14:50:04,5
Carrossel Veneziano,2023-08-03 14:55:05,5
Carrossel Veneziano,2023-08-03 15:00:06,5
Carrossel Veneziano,2023-08-03 15:05:06,5
Carrossel Veneziano,2023-08-03 15:10:04,5
Carrossel Veneziano,2023-08-03 15:15:04,5
Carrossel Veneziano,2023-08-03 15:20:05,5
Carrossel Veneziano,2023-08-03 15:25:05,5
Carrossel Veneziano,2023-08-03 15:30:06,5
Carrossel Veneziano,2023-08-03 15:35:04,5
Carrossel Veneziano,2023-08-03 15:40:04,5
Carrossel Veneziano,2023-08-03 15:45:05,5
Carrossel Veneziano,2023-08-03 15:50:05,5
Carrossel Veneziano,2023-08-03 15:55:05,5
Carrossel Veneziano,2023-08-03 16:00:03,5
Carrossel Veneziano,2023-08-03 16:05:05,5
Carrossel Veneziano,2023-08-03 16:10:04,5
Carrossel Veneziano,2023-08-03 16:15:05,5
Carrossel Veneziano,2023-08-03 16:20:03,5
Carrossel Veneziano,2023-08-03 16:25:04,5
Carrossel Veneziano,2023-08-03 16:30:05,5
Carrossel Veneziano,2023-08-03 16:35:04,5
Carrossel Veneziano,2023-08-03 16:40:03,5
Carrossel Veneziano,2023-08-03 16:45:04,5
Carrossel Veneziano,2023-08-03 16:50:03,5
Carrossel Veneziano,2023-08-03 16:55:04,5
Carrossel Veneziano,2023-08-03 17:00:06,5
Carrossel Veneziano,2023-08-03 17:05:04,5
Carrossel Veneziano,2023-08-03 17:10:05,5
Carrossel Veneziano,2023-08-03 17:15:06,5
Carrossel Veneziano,2023-08-03 17:20:05,5
Carrossel Veneziano,2023-08-03 17:25:06,5
Carrossel Veneziano,2023-08-03 17:30:04,5
Carrossel Veneziano,2023-08-03 17:35:05,5
Carrossel Veneziano,2023-08-03 17:40:04,5
Carrossel Veneziano,2023-08-03 17:45:05,5
Carrossel Veneziano,2023-08-03 17:50:06,5
Carrossel Veneziano,2023-08-03 17:55:04,5
Carrossel Veneziano,2023-08-03 18:00:06,5
Carrossel Veneziano,2023-08-03 18:05:05,5
Carrossel Veneziano,2023-08-06 10:20:05,5
Carrossel Veneziano,2023-08-06 10:25:06,5
Carrossel Veneziano,2023-08-06 10:30:04,5
Carrossel Veneziano,2023-08-06 10:35:05,5
Carrossel Veneziano,2023-08-06 10:40:05,5
Carrossel Veneziano,2023-08-06 10:45:04,5
Carrossel Veneziano,2023-08-06 10:50:05,5
Carrossel Veneziano,2023-08-06 10:55:05,5
Carrossel Veneziano,2023-08-06 11:00:05,10
Carrossel Veneziano,2023-08-06 11:05:05,10
Carrossel Veneziano,2023-08-06 11:10:04,10
