Ride,Date/Time,Wait Time
Big Tower,2023-05-01 10:40:04,40
Big Tower,2023-05-01 10:45:04,40
Big Tower,2023-05-01 10:50:04,40
Big Tower,2023-05-01 10:55:04,40
Big Tower,2023-05-01 11:00:04,40
Big Tower,2023-05-01 11:05:05,40
Big Tower,2023-05-01 11:10:05,40
Big Tower,2023-05-01 11:15:04,60
Big Tower,2023-05-01 11:20:04,60
Big Tower,2023-05-01 11:25:04,60
Big Tower,2023-05-01 11:30:04,60
Big Tower,2023-05-01 11:35:04,70
Big Tower,2023-05-01 11:40:04,70
Big Tower,2023-05-01 11:45:04,70
Big Tower,2023-05-01 11:50:04,70
Big Tower,2023-05-01 11:55:03,70
Big Tower,2023-05-01 12:00:05,70
Big Tower,2023-05-01 12:05:04,70
Big Tower,2023-05-01 12:10:05,70
Big Tower,2023-05-01 12:15:04,40
Big Tower,2023-05-01 12:20:04,40
Big Tower,2023-05-01 12:25:04,40
Big Tower,2023-05-01 12:30:04,40
Big Tower,2023-05-01 12:35:04,40
Big Tower,2023-05-01 12:40:04,40
Big Tower,2023-05-01 12:45:04,40
Big Tower,2023-05-01 12:50:04,40
Big Tower,2023-05-01 12:55:03,40
Big Tower,2023-05-01 13:00:04,40
Big Tower,2023-05-01 13:05:04,40
Big Tower,2023-05-01 13:10:04,40
Big Tower,2023-05-01 13:15:04,40
Big Tower,2023-05-01 13:20:04,40
Big Tower,2023-05-01 13:25:05,40
Big Tower,2023-05-01 13:30:04,40
Big Tower,2023-05-01 13:35:04,50
Big Tower,2023-05-01 13:40:04,50
Big Tower,2023-05-01 13:45:04,50
Big Tower,2023-05-01 13:50:04,50
Big Tower,2023-05-01 13:55:04,50
Big Tower,2023-05-01 14:00:05,50
Big Tower,2023-05-01 14:05:04,30
Big Tower,2023-05-01 14:10:04,30
Big Tower,2023-05-01 14:15:04,30
Big Tower,2023-05-01 14:20:05,30
Big Tower,2023-05-01 14:25:04,30
Big Tower,2023-05-01 14:30:04,30
Big Tower,2023-05-01 14:35:04,30
Big Tower,2023-05-01 14:40:04,50
Big Tower,2023-05-01 14:45:04,50
Big Tower,2023-05-01 14:50:04,50
Big Tower,2023-05-01 14:55:04,50
Big Tower,2023-05-01 15:00:04,50
Big Tower,2023-05-01 15:05:04,40
Big Tower,2023-05-01 15:10:03,40
Big Tower,2023-05-01 15:15:05,40
Big Tower,2023-05-01 15:20:04,40
Big Tower,2023-05-01 15:25:03,40
Big Tower,2023-05-01 15:30:03,40
Big Tower,2023-05-01 15:35:04,20
Big Tower,2023-05-01 15:40:04,20
Big Tower,2023-05-01 15:45:04,20
Big Tower,2023-05-01 15:50:04,20
Big Tower,2023-05-01 15:55:04,20
Big Tower,2023-05-01 16:00:04,20
Big Tower,2023-05-01 16:05:04,20
Big Tower,2023-05-01 16:10:04,20
Big Tower,2023-05-01 16:15:05,20
Big Tower,2023-05-01 16:20:04,20
Big Tower,2023-05-01 16:25:04,20
Big Tower,2023-05-01 16:30:04,20
Big Tower,2023-05-01 16:35:04,30
Big Tower,2023-05-01 16:40:04,30
Big Tower,2023-05-01 16:45:04,30
Big Tower,2023-05-01 16:50:04,30
Big Tower,2023-05-01 16:55:04,30
Big Tower,2023-05-01 17:00:04,30
Big Tower,2023-05-01 17:05:04,30
Big Tower,2023-05-01 17:10:03,10
Big Tower,2023-05-01 17:15:04,10
Big Tower,2023-05-01 17:20:04,10
Big Tower,2023-05-01 17:25:04,10
Big Tower,2023-05-01 17:30:04,10
Big Tower,2023-05-01 17:35:04,10
Big Tower,2023-05-01 17:40:04,30
Big Tower,2023-05-01 17:45:04,30
Big Tower,2023-05-01 17:50:04,30
Big Tower,2023-05-01 17:55:05,30
Big Tower,2023-05-01 18:00:04,30
Big Tower,2023-05-04 10:40:04,10
Big Tower,2023-05-04 10:45:04,10
Big Tower,2023-05-04 10:50:04,10
Big Tower,2023-05-04 10:55:04,10
Big Tower,2023-05-04 11:00:05,20
Big Tower,2023-05-04 11:05:04,20
Big Tower,2023-05-04 11:10:05,20
Big Tower,2023-05-04 11:15:04,20
Big Tower,2023-05-04 11:20:04,20
Big Tower,2023-05-04 11:25:04,20
Big Tower,2023-05-04 11:30:05,20
Big Tower,2023-05-04 11:35:04,20
Big Tower,2023-05-04 11:40:04,30
Big Tower,2023-05-04 11:45:04,30
Big Tower,2023-05-04 11:50:04,30
Big Tower,2023-05-04 11:55:03,30
Big Tower,2023-05-04 12:00:04,30
Big Tower,2023-05-04 12:05:04,30
Big Tower,2023-05-04 12:10:04,20
Big Tower,2023-05-04 12:15:04,20
Big Tower,2023-05-04 12:20:04,20
Big Tower,2023-05-04 12:25:03,20
Big Tower,2023-05-04 12:30:04,20
Big Tower,2023-05-04 12:35:04,20
Big Tower,2023-05-04 12:40:04,30
Big Tower,2023-05-04 12:45:04,30
Big Tower,2023-05-04 12:50:04,30
Big Tower,2023-05-04 12:55:04,30
Big Tower,2023-05-04 13:00:04,30
Big Tower,2023-05-04 13:05:04,30
Big Tower,2023-05-04 13:10:04,5
Big Tower,2023-05-04 13:15:04,5
Big Tower,2023-05-04 13:20:04,5
Big Tower,2023-05-04 13:25:04,5
Big Tower,2023-05-04 13:30:04,5
Big Tower,2023-05-04 13:35:04,5
Big Tower,2023-05-04 13:40:04,5
Big Tower,2023-05-04 13:45:04,20
Big Tower,2023-05-04 13:50:04,20
Big Tower,2023-05-04 13:55:04,20
Big Tower,2023-05-04 14:00:04,20
Big Tower,2023-05-04 14:05:04,5
Big Tower,2023-05-04 14:10:04,5
Big Tower,2023-05-04 14:15:04,5
Big Tower,2023-05-04 14:20:04,5
Big Tower,2023-05-04 14:25:04,5
Big Tower,2023-05-04 14:30:04,5
Big Tower,2023-05-04 14:35:04,30
Big Tower,2023-05-04 14:40:04,30
Big Tower,2023-05-04 14:45:04,30
Big Tower,2023-05-04 14:50:04,30
Big Tower,2023-05-04 14:55:04,30
Big Tower,2023-05-04 15:00:04,30
Big Tower,2023-05-04 15:05:04,20
Big Tower,2023-05-04 15:10:04,20
Big Tower,2023-05-04 15:15:05,20
Big Tower,2023-05-04 15:20:04,20
Big Tower,2023-05-04 15:25:04,20
Big Tower,2023-05-04 15:30:06,5
Big Tower,2023-05-04 15:35:04,5
Big Tower,2023-05-04 15:40:04,5
Big Tower,2023-05-04 15:45:04,5
Big Tower,2023-05-04 15:50:04,5
Big Tower,2023-05-04 15:55:04,5
Big Tower,2023-05-04 16:00:04,5
Big Tower,2023-05-04 16:05:03,5
Big Tower,2023-05-04 16:10:05,5
Big Tower,2023-05-04 16:15:04,5
Big Tower,2023-05-04 16:20:05,5
Big Tower,2023-05-04 16:25:05,5
Big Tower,2023-05-04 16:30:04,5
Big Tower,2023-05-04 16:35:04,5
Big Tower,2023-05-04 16:40:04,5
Big Tower,2023-05-04 16:45:04,5
Big Tower,2023-05-04 16:50:03,5
Big Tower,2023-05-04 16:55:04,10
Big Tower,2023-05-04 17:00:05,10
Big Tower,2023-05-04 17:05:04,10
Big Tower,2023-05-04 17:10:05,10
Big Tower,2023-05-04 17:15:04,10
Big Tower,2023-05-04 17:20:04,10
Big Tower,2023-05-04 17:25:04,10
Big Tower,2023-05-04 17:30:04,10
Big Tower,2023-05-04 17:35:04,5
Big Tower,2023-05-04 17:40:04,5
Big Tower,2023-05-04 17:45:04,5
Big Tower,2023-05-04 17:50:04,5
Big Tower,2023-05-04 17:55:04,5
Big Tower,2023-05-04 18:00:04,5
Big Tower,2023-05-04 18:05:04,5
Big Tower,2023-05-05 11:00:04,15
Big Tower,2023-05-05 11:05:05,15
Big Tower,2023-05-05 11:10:04,15
Big Tower,2023-05-05 11:15:04,15
Big Tower,2023-05-05 11:20:04,15
Big Tower,2023-05-05 11:25:04,15
Big Tower,2023-05-05 11:30:05,40
Big Tower,2023-05-05 11:35:04,40
Big Tower,2023-05-05 11:40:04,40
Big Tower,2023-05-05 11:45:04,40
Big Tower,2023-05-05 11:50:04,40
Big Tower,2023-05-05 11:55:04,40
Big Tower,2023-05-05 12:00:04,50
Big Tower,2023-05-05 12:05:05,50
Big Tower,2023-05-05 12:10:05,50
Big Tower,2023-05-05 12:15:04,50
Big Tower,2023-05-05 12:20:04,50
Big Tower,2023-05-05 12:25:04,50
Big Tower,2023-05-05 12:30:04,30
Big Tower,2023-05-05 12:35:04,30
Big Tower,2023-05-05 12:40:04,30
Big Tower,2023-05-05 12:45:04,30
Big Tower,2023-05-05 12:50:04,30
Big Tower,2023-05-05 12:55:04,30
Big Tower,2023-05-05 13:00:05,30
Big Tower,2023-05-05 13:05:04,20
Big Tower,2023-05-05 13:10:05,20
Big Tower,2023-05-05 13:15:04,20
Big Tower,2023-05-05 13:20:04,20
Big Tower,2023-05-05 13:25:03,20
Big Tower,2023-05-05 13:30:04,20
Big Tower,2023-05-05 13:35:04,20
Big Tower,2023-05-05 13:40:04,10
Big Tower,2023-05-05 13:45:04,10
Big Tower,2023-05-05 13:50:04,10
Big Tower,2023-05-05 13:55:04,10
Big Tower,2023-05-05 14:00:04,10
Big Tower,2023-05-05 14:05:04,10
Big Tower,2023-05-05 14:10:04,5
Big Tower,2023-05-05 14:15:04,5
Big Tower,2023-05-05 14:20:04,5
Big Tower,2023-05-05 14:25:04,5
Big Tower,2023-05-05 14:30:04,5
Big Tower,2023-05-05 14:35:05,20
Big Tower,2023-05-05 14:40:04,20
Big Tower,2023-05-05 14:45:03,20
Big Tower,2023-05-05 14:50:05,20
Big Tower,2023-05-05 14:55:03,20
Big Tower,2023-05-05 15:00:05,20
Big Tower,2023-05-05 15:05:04,10
Big Tower,2023-05-05 15:10:03,10
Big Tower,2023-05-05 15:15:05,10
Big Tower,2023-05-05 15:20:04,10
Big Tower,2023-05-05 15:25:05,10
Big Tower,2023-05-05 15:30:04,10
Big Tower,2023-05-05 15:35:04,10
Big Tower,2023-05-05 15:40:04,10
Big Tower,2023-05-05 15:45:05,10
Big Tower,2023-05-05 15:50:05,10
Big Tower,2023-05-05 15:55:04,10
Big Tower,2023-05-05 16:00:04,10
Big Tower,2023-05-05 16:05:04,10
Big Tower,2023-05-05 16:10:05,10
Big Tower,2023-05-05 16:15:04,10
Big Tower,2023-05-05 16:20:04,10
Big Tower,2023-05-05 16:25:04,10
Big Tower,2023-05-05 16:30:04,10
Big Tower,2023-05-05 16:35:04,5
Big Tower,2023-05-05 16:40:03,5
Big Tower,2023-05-05 16:45:04,5
Big Tower,2023-05-05 16:50:04,5
Big Tower,2023-05-05 16:55:04,5
Big Tower,2023-05-05 17:00:04,5
Big Tower,2023-05-05 17:05:04,5
Big Tower,2023-05-05 17:10:04,5
Big Tower,2023-05-05 17:15:04,5
Big Tower,2023-05-05 17:20:04,5
Big Tower,2023-05-05 17:25:04,5
Big Tower,2023-05-05 17:30:05,5
Big Tower,2023-05-05 17:35:04,5
Big Tower,2023-05-05 17:40:05,5
Big Tower,2023-05-05 17:45:04,5
Big Tower,2023-05-05 17:50:04,5
Big Tower,2023-05-05 17:55:04,5
Big Tower,2023-05-05 18:00:05,5
Big Tower,2023-05-05 18:05:04,5
Big Tower,2023-05-06 10:30:04,30
Big Tower,2023-05-06 10:35:04,30
Big Tower,2023-05-06 10:40:04,30
Big Tower,2023-05-06 10:45:03,30
Big Tower,2023-05-06 10:50:05,30
Big Tower,2023-05-06 10:55:04,30
Big Tower,2023-05-06 11:00:04,30
Big Tower,2023-05-06 11:05:04,90
Big Tower,2023-05-06 11:10:04,90
Big Tower,2023-05-06 11:15:04,90
Big Tower,2023-05-06 11:20:05,90
Big Tower,2023-05-06 11:25:03,90
Big Tower,2023-05-06 11:30:04,90
Big Tower,2023-05-06 11:35:04,120
Big Tower,2023-05-06 11:40:03,120
Big Tower,2023-05-06 11:45:04,120
Big Tower,2023-05-06 11:50:04,120
Big Tower,2023-05-06 11:55:03,120
Big Tower,2023-05-06 12:00:04,120
Big Tower,2023-05-06 12:05:05,120
Big Tower,2023-05-06 12:10:04,120
Big Tower,2023-05-06 12:15:04,120
Big Tower,2023-05-06 12:20:04,120
Big Tower,2023-05-06 12:25:04,120
Big Tower,2023-05-06 12:30:04,120
Big Tower,2023-05-06 12:35:04,120
Big Tower,2023-05-06 12:40:03,100
Big Tower,2023-05-06 12:45:05,100
Big Tower,2023-05-06 12:50:03,100
Big Tower,2023-05-06 12:55:04,100
Big Tower,2023-05-06 13:00:04,100
Big Tower,2023-05-06 13:05:05,100
Big Tower,2023-05-06 13:10:04,110
Big Tower,2023-05-06 13:15:04,110
Big Tower,2023-05-06 13:20:04,110
Big Tower,2023-05-06 13:25:04,110
Big Tower,2023-05-06 13:30:04,110
Big Tower,2023-05-06 13:35:04,110
Big Tower,2023-05-06 13:40:04,110
Big Tower,2023-05-06 13:45:04,110
Big Tower,2023-05-06 13:50:04,110
Big Tower,2023-05-06 13:55:04,110
Big Tower,2023-05-06 14:00:04,110
Big Tower,2023-05-06 14:05:04,90
Big Tower,2023-05-06 14:10:04,90
Big Tower,2023-05-06 14:15:04,90
Big Tower,2023-05-06 14:20:04,90
Big Tower,2023-05-06 14:25:04,90
Big Tower,2023-05-06 14:30:04,90
Big Tower,2023-05-06 14:35:04,90
Big Tower,2023-05-06 14:40:04,90
Big Tower,2023-05-06 14:45:04,90
