Ride,Date/Time,Wait Time
Montanha-russa Dum Dum,2024-03-01 09:45:06,15
Montanha-russa Dum Dum,2024-03-01 09:50:06,15
Montanha-russa Dum Dum,2024-03-01 09:55:04,15
Montanha-russa Dum Dum,2024-03-01 10:00:06,15
Montanha-russa Dum Dum,2024-03-01 10:05:05,15
Montanha-russa Dum Dum,2024-03-01 10:10:06,15
Montanha-russa Dum Dum,2024-03-01 10:15:05,15
Montanha-russa Dum Dum,2024-03-01 10:20:06,15
Montanha-russa Dum Dum,2024-03-01 10:25:06,15
Montanha-russa Dum Dum,2024-03-01 10:30:06,15
Montanha-russa Dum Dum,2024-03-01 10:35:05,15
Montanha-russa Dum Dum,2024-03-01 10:40:05,15
Montanha-russa Dum Dum,2024-03-01 10:45:06,15
Montanha-russa Dum Dum,2024-03-01 10:50:05,15
Montanha-russa Dum Dum,2024-03-01 10:55:04,15
Montanha-russa Dum Dum,2024-03-01 11:00:04,15
Montanha-russa Dum Dum,2024-03-01 11:05:05,15
Montanha-russa Dum Dum,2024-03-01 11:10:06,15
Montanha-russa Dum Dum,2024-03-01 11:15:05,15
Montanha-russa Dum Dum,2024-03-01 11:20:06,15
Montanha-russa Dum Dum,2024-03-01 11:25:04,15
Montanha-russa Dum Dum,2024-03-01 11:30:05,15
Montanha-russa Dum Dum,2024-03-01 11:35:05,15
Montanha-russa Dum Dum,2024-03-01 11:40:05,15
Montanha-russa Dum Dum,2024-03-01 11:45:05,15
Montanha-russa Dum Dum,2024-03-01 11:50:06,10
Montanha-russa Dum Dum,2024-03-01 11:55:05,10
Montanha-russa Dum Dum,2024-03-01 12:00:06,10
Montanha-russa Dum Dum,2024-03-01 12:05:06,10
Montanha-russa Dum Dum,2024-03-01 12:10:06,5
Montanha-russa Dum Dum,2024-03-01 12:15:05,5
Montanha-russa Dum Dum,2024-03-01 12:20:05,5
Montanha-russa Dum Dum,2024-03-01 12:25:05,5
Montanha-russa Dum Dum,2024-03-01 12:30:05,5
Montanha-russa Dum Dum,2024-03-01 12:35:05,5
Montanha-russa Dum Dum,2024-03-01 12:40:06,5
Montanha-russa Dum Dum,2024-03-01 12:45:05,10
Montanha-russa Dum Dum,2024-03-01 12:50:03,10
Montanha-russa Dum Dum,2024-03-01 12:55:04,10
Montanha-russa Dum Dum,2024-03-01 13:00:06,10
Montanha-russa Dum Dum,2024-03-01 13:05:04,10
Montanha-russa Dum Dum,2024-03-01 13:10:06,10
Montanha-russa Dum Dum,2024-03-01 13:15:05,5
Montanha-russa Dum Dum,2024-03-01 13:20:05,5
Montanha-russa Dum Dum,2024-03-01 13:25:05,5
Montanha-russa Dum Dum,2024-03-01 13:30:06,5
Montanha-russa Dum Dum,2024-03-01 13:35:05,5
Montanha-russa Dum Dum,2024-03-01 13:40:06,5
Montanha-russa Dum Dum,2024-03-01 13:45:05,5
Montanha-russa Dum Dum,2024-03-01 13:50:06,5
Montanha-russa Dum Dum,2024-03-01 13:55:04,5
Montanha-russa Dum Dum,2024-03-01 14:00:07,5
Montanha-russa Dum Dum,2024-03-01 14:05:05,5
Montanha-russa Dum Dum,2024-03-01 14:10:06,5
Montanha-russa Dum Dum,2024-03-01 14:15:05,5
Montanha-russa Dum Dum,2024-03-01 14:20:06,5
Montanha-russa Dum Dum,2024-03-01 14:25:05,5
Montanha-russa Dum Dum,2024-03-01 14:30:06,5
Montanha-russa Dum Dum,2024-03-01 14:35:05,5
Montanha-russa Dum Dum,2024-03-01 14:40:05,5
