Ride,Date/Time,Wait Time
Raskapuska,2023-04-01 10:45:04,60
Raskapuska,2023-04-01 10:50:04,60
Raskapuska,2023-04-01 10:55:04,60
Raskapuska,2023-04-01 11:00:04,60
Raskapuska,2023-04-01 11:05:03,60
Raskapuska,2023-04-01 11:10:04,60
Raskapuska,2023-04-01 11:15:04,60
Raskapuska,2023-04-01 11:20:04,60
Raskapuska,2023-04-01 11:25:04,60
Raskapuska,2023-04-01 11:30:04,60
Raskapuska,2023-04-01 11:35:04,60
Raskapuska,2023-04-01 11:40:05,60
Raskapuska,2023-04-01 11:45:05,60
Raskapuska,2023-04-01 11:50:04,60
Raskapuska,2023-04-01 11:55:04,60
Raskapuska,2023-04-01 12:00:04,60
Raskapuska,2023-04-01 12:05:04,60
Raskapuska,2023-04-01 12:10:04,70
Raskapuska,2023-04-01 12:15:04,70
Raskapuska,2023-04-01 12:20:04,70
Raskapuska,2023-04-01 12:25:04,70
Raskapuska,2023-04-01 12:30:05,70
Raskapuska,2023-04-01 12:35:04,70
Raskapuska,2023-04-01 12:40:04,50
Raskapuska,2023-04-01 12:45:04,50
Raskapuska,2023-04-01 12:50:04,50
Raskapuska,2023-04-01 12:55:03,50
Raskapuska,2023-04-01 13:00:04,50
Raskapuska,2023-04-01 13:05:04,50
Raskapuska,2023-04-01 13:10:05,35
Raskapuska,2023-04-01 13:15:04,35
Raskapuska,2023-04-01 13:20:04,35
Raskapuska,2023-04-01 13:25:04,35
Raskapuska,2023-04-01 13:30:03,35
Raskapuska,2023-04-01 13:35:04,35
Raskapuska,2023-04-01 13:40:05,30
Raskapuska,2023-04-01 13:45:04,30
Raskapuska,2023-04-01 13:50:04,30
Raskapuska,2023-04-01 13:55:04,30
Raskapuska,2023-04-01 14:00:05,30
Raskapuska,2023-04-01 14:05:05,30
Raskapuska,2023-04-01 14:10:05,30
Raskapuska,2023-04-01 14:15:05,35
Raskapuska,2023-04-01 14:20:04,35
Raskapuska,2023-04-01 14:25:04,35
Raskapuska,2023-04-01 14:30:04,35
Raskapuska,2023-04-01 14:35:04,35
Raskapuska,2023-04-01 14:40:04,35
Raskapuska,2023-04-01 14:45:04,30
Raskapuska,2023-04-01 14:50:04,30
Raskapuska,2023-04-01 14:55:04,30
Raskapuska,2023-04-01 15:00:04,30
Raskapuska,2023-04-01 15:05:04,30
Raskapuska,2023-04-01 15:10:04,35
Raskapuska,2023-04-01 15:15:04,35
Raskapuska,2023-04-01 15:20:04,35
Raskapuska,2023-04-01 15:25:04,35
Raskapuska,2023-04-01 15:30:05,35
Raskapuska,2023-04-01 15:35:04,35
Raskapuska,2023-04-01 15:40:04,35
Raskapuska,2023-04-01 15:45:04,35
Raskapuska,2023-04-01 15:50:04,35
Raskapuska,2023-04-01 15:55:04,35
Raskapuska,2023-04-01 16:00:04,35
Raskapuska,2023-04-01 16:05:05,35
Raskapuska,2023-04-01 16:10:05,35
Raskapuska,2023-04-01 16:15:05,35
Raskapuska,2023-04-01 16:20:05,35
Raskapuska,2023-04-01 16:25:05,35
Raskapuska,2023-04-01 16:30:04,35
Raskapuska,2023-04-01 16:35:05,35
Raskapuska,2023-04-01 16:40:04,35
Raskapuska,2023-04-01 16:45:04,35
Raskapuska,2023-04-01 16:50:04,35
Raskapuska,2023-04-01 16:55:04,35
Raskapuska,2023-04-01 17:00:05,35
Raskapuska,2023-04-01 17:05:05,35
Raskapuska,2023-04-01 17:10:04,35
Raskapuska,2023-04-01 17:15:04,50
Raskapuska,2023-04-01 17:20:05,50
Raskapuska,2023-04-01 17:25:04,50
Raskapuska,2023-04-01 17:30:05,50
Raskapuska,2023-04-01 17:35:04,50
Raskapuska,2023-04-01 17:40:04,50
Raskapuska,2023-04-01 17:45:04,35
Raskapuska,2023-04-01 17:50:04,35
Raskapuska,2023-04-01 17:55:04,35
Raskapuska,2023-04-01 18:00:04,35
Raskapuska,2023-04-01 18:05:04,35
Raskapuska,2023-04-01 18:10:04,35
Raskapuska,2023-04-02 10:45:04,90
Raskapuska,2023-04-02 10:50:04,90
Raskapuska,2023-04-02 10:55:04,90
Raskapuska,2023-04-02 11:00:05,90
Raskapuska,2023-04-02 11:05:04,90
Raskapuska,2023-04-02 11:10:04,100
Raskapuska,2023-04-02 11:15:05,100
Raskapuska,2023-04-02 11:20:03,100
Raskapuska,2023-04-02 11:25:04,100
Raskapuska,2023-04-02 11:30:04,100
Raskapuska,2023-04-02 11:35:04,100
Raskapuska,2023-04-02 11:40:03,100
Raskapuska,2023-04-02 11:45:04,100
Raskapuska,2023-04-02 11:50:04,120
Raskapuska,2023-04-02 11:55:04,120
Raskapuska,2023-04-02 12:00:03,120
Raskapuska,2023-04-02 12:05:04,120
Raskapuska,2023-04-02 12:10:04,120
Raskapuska,2023-04-02 12:15:04,120
Raskapuska,2023-04-02 12:20:04,90
Raskapuska,2023-04-02 12:25:04,90
Raskapuska,2023-04-02 12:30:04,90
Raskapuska,2023-04-02 12:35:04,90
Raskapuska,2023-04-02 12:40:04,90
Raskapuska,2023-04-02 12:45:04,90
Raskapuska,2023-04-02 12:50:04,90
Raskapuska,2023-04-02 12:55:04,90
Raskapuska,2023-04-02 13:00:05,90
Raskapuska,2023-04-02 13:05:04,90
Raskapuska,2023-04-02 13:10:04,90
Raskapuska,2023-04-02 13:15:04,90
Raskapuska,2023-04-02 13:20:04,60
Raskapuska,2023-04-02 13:25:04,60
Raskapuska,2023-04-02 13:30:05,60
Raskapuska,2023-04-02 13:35:04,60
Raskapuska,2023-04-02 13:40:04,60
Raskapuska,2023-04-02 13:45:04,60
Raskapuska,2023-04-02 13:50:04,40
Raskapuska,2023-04-02 13:55:03,40
Raskapuska,2023-04-02 14:00:04,40
Raskapuska,2023-04-02 14:05:05,40
Raskapuska,2023-04-02 14:10:04,40
Raskapuska,2023-04-02 14:15:04,40
Raskapuska,2023-04-02 14:20:05,40
Raskapuska,2023-04-02 14:25:04,40
Raskapuska,2023-04-02 14:30:04,40
Raskapuska,2023-04-02 14:35:05,40
Raskapuska,2023-04-02 14:40:05,60
Raskapuska,2023-04-02 14:45:03,60
Raskapuska,2023-04-02 14:50:04,60
Raskapuska,2023-04-02 14:55:04,60
Raskapuska,2023-04-02 15:00:04,60
Raskapuska,2023-04-02 15:05:04,60
Raskapuska,2023-04-02 15:10:05,90
Raskapuska,2023-04-02 15:15:04,90
Raskapuska,2023-04-02 15:20:04,90
Raskapuska,2023-04-02 15:25:04,90
Raskapuska,2023-04-02 15:30:05,90
Raskapuska,2023-04-02 15:35:04,90
Raskapuska,2023-04-02 15:40:04,90
Raskapuska,2023-04-02 15:45:04,90
Raskapuska,2023-04-02 15:50:04,90
Raskapuska,2023-04-02 15:55:04,90
Raskapuska,2023-04-02 16:00:05,90
Raskapuska,2023-04-02 16:05:04,90
Raskapuska,2023-04-02 16:10:04,90
Raskapuska,2023-04-02 16:15:04,90
Raskapuska,2023-04-02 16:20:04,40
Raskapuska,2023-04-02 16:25:05,40
Raskapuska,2023-04-02 16:30:05,40
Raskapuska,2023-04-02 16:35:05,40
Raskapuska,2023-04-02 16:40:04,60
Raskapuska,2023-04-02 16:45:04,60
Raskapuska,2023-04-02 16:50:04,60
